N time(N)
1 5.249999958323315e-05
2 3.360000118846074e-05
3 4.7900000936351717e-05
4 0.00019580000662244856
5 5.249999958323315e-05
6 4.919999628327787e-05
7 5.190000229049474e-05
8 6.199999916134402e-05
9 6.84000042383559e-05
10 7.389999518636614e-05
11 7.819999882485718e-05
12 8.349999552592635e-05
13 8.449999586446211e-05
14 0.0001514999967184849
15 9.829999908106402e-05
16 0.00010329999349778518
17 0.00014630000077886507
18 0.00012109999806853011
19 0.00012460000289138407
20 0.00011950000043725595
21 0.00011939999967580661
22 0.00014849999570287764
23 0.000149200001033023
24 0.00015800000255694613
25 0.0001632999992580153
26 0.0001694999955361709
27 0.0001740000006975606
28 0.0001779000012902543
29 0.00018200000340584666
30 0.00019659999816212803
31 0.00019919999613193795
32 0.0001852000059443526
33 0.00019600000086938962
34 0.0004936000041197985
35 0.00014590000500902534
36 0.0001644000003580004
37 0.0001205000007757917
38 0.00013059999764664099
39 0.00012720000086119398
40 0.00012940000306116417
41 0.0001453000004403293
42 0.00029180000274209306
43 0.00015640000492567196
44 0.00014399999781744555
45 0.00014419999934034422
46 0.00014759999612579122
47 0.0001503000021330081
48 0.0001444000008632429
49 0.00014849999570287764
50 0.00015210000128718093
