k E(k)
0 109.1443934849348
1 84.74847498743694
2 65.55263415497106
3 53.138756189677935
4 41.466502835742915
5 33.47816597298697
6 26.28020821282719
7 21.139418689142218
8 16.666528080016462
9 13.36964158437452
10 10.574747257163864
11 8.466316205983645
12 6.712351864322912
13 5.366735204251739
14 4.262270248202938
15 3.404716181108796
16 2.7074123082088875
17 2.1614132642004904
18 1.720293604939613
19 1.3728613359535586
20 1.0933881781295156
21 0.8723797138236051
22 0.6951196837916882
23 0.5545519313312752
24 0.44202700797110595
25 0.3526239884273821
26 0.2811469568612779
27 0.22428240969580315
28 0.17885679370824903
29 0.14268463405677778
30 0.113804078392576
31 0.09079162611715219
32 0.07242427206699631
33 0.05778181795255932
34 0.04609764111523873
35 0.03677945592978915
36 0.029345165496607706
37 0.023414298274431644
38 0.018683296496462276
39 0.014907766684657986
40 0.011896689024680995
41 0.009492790655187378
42 0.007576207538321
43 0.006045321902504952
44 0.0048253562704445585
45 0.003850198336323274
46 0.003073680994617689
47 0.0024523238587335072
48 0.001958133609690549
49 0.0015620487410501482
50 0.0012476285942000231
51 0.0009949954317534093
52 0.0007950561866607586
53 0.0006337817031294435
54 0.0005067538405825189
55 0.0004036678651004877
56 0.0003230809366527865
57 0.0002570600767768383
58 0.0002060564693380229
59 0.0001636475578976615
60 0.0001314904489078117
61 0.00010412453613639627
62 8.397485193256671e-05
63 6.619347543335152e-05
64 5.369451395154101e-05
65 4.202030771693899e-05
66 3.4396480373288796e-05
67 2.661397526537712e-05
68 2.2096856355346972e-05
69 1.6794443752132793e-05
70 1.4257222346714116e-05
71 1.0535416350876403e-05
72 9.260056700099994e-06
73 6.545659800849535e-06
74 6.074578564607691e-06
75 4.0022967624508965e-06
76 4.043870831083041e-06
77 2.3808908480305035e-06
78 2.7492541079254806e-06
79 1.3471880038196105e-06
80 1.9238718778069597e-06
81 6.881365095523506e-07
82 1.3976264625625845e-06
83 2.679308295228111e-07
84 1.0620897370472449e-06
85 0.0
