N;W(N)
0;0.038461538461538464
1;0.04153227094178137
2;0.044979766886867494
3;0.04886709502874536
4;0.05327079834514398
5;0.0582844081925335
6;0.0640230394328755
7;0.07062944658665074
8;0.07828206825979654
9;0.08720579360289682
10;0.09768647186960112
11;0.11009057817658513
12;0.12489196197061363
13;0.1427082190277625
14;0.16434980411980288
15;0.19088507265521798
16;0.2237226905212455
17;0.2647058823529412
18;0.31619256017505476
19;0.3810430706123646
20;0.46231781016708134
21;0.5622568093385214
22;0.6798222686879248
23;0.8062616243025419
24;0.9203821656050956
25;0.9904798172124903
26;0.9904798172124906
27;0.9203821656050956
28;0.8062616243025416
29;0.6798222686879248
30;0.5622568093385214
31;0.4623178101670817
32;0.3810430706123646
33;0.3161925601750546
34;0.26470588235294124
35;0.2237226905212455
36;0.1908850726552179
37;0.16434980411980288
38;0.1427082190277625
39;0.12489196197061368
40;0.11009057817658513
41;0.09768647186960112
42;0.08720579360289682
43;0.07828206825979654
44;0.07062944658665073
45;0.0640230394328755
46;0.0582844081925335
47;0.05327079834514399
48;0.04886709502874536
49;0.044979766886867494
50;0.04153227094178138
