N;W(N)
0;0.03846509329445486
1;0.03849354741903478
2;0.038550538231747096
3;0.03863623135787918
4;0.03875087648585615
5;0.03889480888201562
6;0.03906845143417317
7;0.03927231724489716
8;0.039507012801232005
9;0.039773241753838874
10;0.04007180934526632
11;0.040403627534429054
12;0.040769720872489014
13;0.04117123319433831
14;0.04160943519994202
15;0.04208573301109373
16;0.042601677801883155
17;0.04315897661561966
18;0.04375950449738695
19;0.04440531809015759
20;0.04509867086386657
21;0.04584203017149062
22;0.04663809635455023
23;0.04748982415318352
24;0.04840044671379404
25;0.04937350253114458
26;0.05041286571272011
27;0.05152278001247912
28;0.05270789715025824
29;0.05397332001388262
30;0.0553246514356018
31;0.056768049345375673
32;0.058310289233828576
33;0.05995883501103179
34;0.061721919528037635
35;0.06360863624151289
36;0.06562904375417364
37;0.06779428526250032
38;0.07011672529735692
39;0.0726101065632921
40;0.07528973018108744
41;0.07817266323041024
42;0.08127797819262308
43;0.08462702972800643
44;0.08824377520972648
45;0.09215514660418585
46;0.09639148266099276
47;0.10098703198274334
48;0.10598053940894349
49;0.11141593028452242
50;0.11734310958744361
