n;|x-x*|
1;0.19314718060195446
2;0.05685281939804554
3;0.06814718060195446
4;0.00564718060195446
5;0.02560281939804554
6;0.00997781939804554
7;0.00216531939804554
8;0.0017409306019544601
9;0.00021219439804553986
10;0.0007643681019544601
11;0.00027608685195446014
12;3.1946226954460144e-05
13;9.012408554553986e-05
14;2.9088929295539856e-05
15;1.428648829460144e-06
16;1.3830140233039856e-05
17;6.200745701789856e-06
18;2.386048436164856e-06
19;4.78699803352356e-07
20;4.7497451305389404e-07
21;1.862645149230957e-09
22;2.3655593395233154e-07
23;1.1734664440155029e-07
24;5.774199962615967e-08
25;2.7939677238464355e-08
26;1.30385160446167e-08
27;5.587935447692871e-09
28;1.862645149230957e-09
29;0.0
