n;|x-x*|
1;0.35445029466248856
2;1.391088715675715
3;0.2614120006113584
4;0.08527024407099204
5;0.030363346895923682
6;0.011108819328220387
7;0.004102958224127873
8;0.0015206169923931423
9;0.0005642771139624525
10;0.0002094920792098387
11;7.778846149419927e-05
12;2.8885657163413292e-05
13;1.0725972594216593e-05
14;3.982289963677665e-06
15;1.4779617200089135e-06
16;5.479522954265903e-07
17;2.025826382201501e-07
18;7.432557813658036e-08
19;2.6695808230670082e-08
20;9.007930623639027e-09
21;2.4393281838896996e-09
22;0.0
