h;E(h)
0.5;0.0889699
0.4;0.0651337
0.32;0.0481578
0.256;0.035961
0.2048;0.0271095
0.16384;0.0206175
0.131072;0.0158053
0.104858;0.0122014
0.0838861;0.00947702
0.0671089;0.00739896
0.0536871;0.00580221
0.0429497;0.00456697
0.0343597;0.00360537
0.0274878;0.00285393
0.0219902;0.00226319
0.0175922;0.00179851
0.0140737;0.00143003
0.011259;0.00113863
0.0090072;0.000908017
0.00720576;0.000724018
0.00576461;0.000578761
0.00461169;0.000461757
0.00368935;0.000366449
0.00295148;0.000293791
0.00236118;0.00023824
0.00188895;0.000183046
0.00151116;0.000143588
0.00120893;0.000116467
0.000967141;9.17912e-05
0.000773713;7.64132e-05
0.00061897;5.71609e-05
0.000495176;3.9041e-05
0.000396141;2.40207e-05
0.000316913;1.36495e-05
0.00025353;1.90735e-06
0.000202824;1.84774e-06
0.000162259;1.84774e-06
0.000129807;4.77433e-05
0.000103846;9.65595e-06
8.30768e-05;9.71556e-06
6.64614e-05;5.45979e-05
5.31691e-05;1.43051e-06
4.25353e-05;0.000208735
3.40282e-05;0.000404358
2.72226e-05;0.000294864
2.17781e-05;0.000431716
1.74225e-05;8.95858e-05
1.3938e-05;0.000303388
1.11504e-05;0.000498474
8.9203e-06;0.000503778
7.13624e-06;0.00133902
5.70899e-06;0.00133902
4.56719e-06;0.00127113
3.65375e-06;0.00127113
2.923e-06;0.00127113
2.3384e-06;0.0012778
1.87072e-06;0.00765014
1.49658e-06;0.00429809
1.19726e-06;0.00316954
9.5781e-07;5.79953e-05
7.66248e-07;0.00772077
6.12998e-07;0.00772077
4.90399e-07;0.022665
3.92319e-07;0.0074721
3.13855e-07;0.0169677
2.51084e-07;0.0288371
2.00867e-07;0.0156733
1.60694e-07;0.0399647
1.28555e-07;0.0631472
1.02844e-07;0.0341691
8.22753e-08;0.106615
6.58202e-08;0.074499
5.26562e-08;0.151893
4.21249e-08;0.0811455
3.36999e-08;0.0957232
2.696e-08;0.125363
2.1568e-08;0.289173
1.72544e-08;0.11645
1.38035e-08;0.0994541
1.10428e-08;0.369334
8.83424e-09;0.706684
7.06739e-09;0.980067
5.65391e-09;0.980067
4.52313e-09;0.980067
3.6185e-09;0.980067
2.8948e-09;0.980067
2.31584e-09;0.980067
1.85267e-09;0.980067
1.48214e-09;0.980067
1.18571e-09;0.980067
9.48569e-10;0.980067
7.58855e-10;0.980067
6.07084e-10;0.980067
4.85667e-10;0.980067
3.88534e-10;0.980067
3.10827e-10;0.980067
2.48662e-10;0.980067
1.98929e-10;0.980067
1.59143e-10;0.980067
1.27315e-10;0.980067
1.01852e-10;0.980067
8.14815e-11;0.980067
6.51852e-11;0.980067
5.21481e-11;0.980067
4.17185e-11;0.980067
3.33748e-11;0.980067
2.66998e-11;0.980067
2.13599e-11;0.980067
1.70879e-11;0.980067
1.36703e-11;0.980067
1.09363e-11;0.980067
8.74901e-12;0.980067
6.9992e-12;0.980067
5.59936e-12;0.980067
4.47949e-12;0.980067
3.58359e-12;0.980067
2.86687e-12;0.980067
2.2935e-12;0.980067
1.8348e-12;0.980067
1.46784e-12;0.980067
1.17427e-12;0.980067
9.39417e-13;0.980067
7.51534e-13;0.980067
6.01227e-13;0.980067
4.80982e-13;0.980067
3.84785e-13;0.980067
3.07828e-13;0.980067
2.46263e-13;0.980067
1.9701e-13;0.980067
1.57608e-13;0.980067
1.26086e-13;0.980067
1.00869e-13;0.980067
8.06953e-14;0.980067
6.45563e-14;0.980067
5.1645e-14;0.980067
4.1316e-14;0.980067
3.30528e-14;0.980067
2.64422e-14;0.980067
2.11538e-14;0.980067
1.6923e-14;0.980067
1.35384e-14;0.980067
1.08307e-14;0.980067
8.6646e-15;0.980067
6.93168e-15;0.980067
5.54534e-15;0.980067
4.43627e-15;0.980067
3.54902e-15;0.980067
2.83921e-15;0.980067
2.27137e-15;0.980067
1.8171e-15;0.980067
1.45368e-15;0.980067
1.16294e-15;0.980067
9.30354e-16;0.980067
7.44283e-16;0.980067
5.95426e-16;0.980067
4.76341e-16;0.980067
3.81073e-16;0.980067
3.04858e-16;0.980067
2.43887e-16;0.980067
1.95109e-16;0.980067
1.56087e-16;0.980067
1.2487e-16;0.980067
9.9896e-17;0.980067
7.99168e-17;0.980067
6.39334e-17;0.980067
5.11467e-17;0.980067
4.09174e-17;0.980067
3.27339e-17;0.980067
2.61871e-17;0.980067
2.09497e-17;0.980067
1.67598e-17;0.980067
1.34078e-17;0.980067
1.07262e-17;0.980067
8.581e-18;0.980067
6.8648e-18;0.980067
5.49184e-18;0.980067
4.39347e-18;0.980067
3.51478e-18;0.980067
2.81182e-18;0.980067
2.24946e-18;0.980067
1.79957e-18;0.980067
1.43965e-18;0.980067
1.15172e-18;0.980067
9.21378e-19;0.980067
7.37102e-19;0.980067
5.89682e-19;0.980067
4.71745e-19;0.980067
3.77396e-19;0.980067
3.01917e-19;0.980067
2.41534e-19;0.980067
1.93227e-19;0.980067
1.54582e-19;0.980067
1.23665e-19;0.980067
