h;E(h)
1.52588e-05;1.51576e-06
3.05176e-05;3.03161e-06
4.57764e-05;4.54752e-06
6.10352e-05;6.06352e-06
7.62939e-05;7.57958e-06
9.15527e-05;9.09573e-06
0.000106812;1.0612e-05
0.00012207;1.21282e-05
0.000137329;1.36446e-05
0.000152588;1.51611e-05
0.000167847;1.66776e-05
0.000183105;1.81942e-05
0.000198364;1.97109e-05
0.000213623;2.12276e-05
0.000228882;2.27445e-05
0.000244141;2.42614e-05
0.000259399;2.57783e-05
0.000274658;2.72954e-05
0.000289917;2.88125e-05
0.000305176;3.03297e-05
0.000320435;3.1847e-05
0.000335693;3.33644e-05
0.000350952;3.48818e-05
0.000366211;3.63993e-05
0.00038147;3.79169e-05
0.000396729;3.94346e-05
0.000411987;4.09523e-05
0.000427246;4.24702e-05
0.000442505;4.39881e-05
0.000457764;4.5506e-05
0.000473022;4.70241e-05
0.000488281;4.85422e-05
0.00050354;5.00604e-05
0.000518799;5.15787e-05
0.000534058;5.3097e-05
0.000549316;5.46154e-05
0.000564575;5.6134e-05
0.000579834;5.76525e-05
0.000595093;5.91712e-05
0.000610352;6.06899e-05
0.00062561;6.22087e-05
0.000640869;6.37276e-05
0.000656128;6.52466e-05
0.000671387;6.67656e-05
0.000686646;6.82847e-05
0.000701904;6.98039e-05
0.000717163;7.13232e-05
0.000732422;7.28425e-05
0.000747681;7.43619e-05
0.000762939;7.58814e-05
0.000778198;7.7401e-05
0.000793457;7.89206e-05
0.000808716;8.04403e-05
0.000823975;8.19601e-05
0.000839233;8.348e-05
0.000854492;8.5e-05
0.000869751;8.652e-05
0.00088501;8.80401e-05
0.000900269;8.95603e-05
0.000915527;9.10805e-05
0.000930786;9.26008e-05
0.000946045;9.41212e-05
0.000961304;9.56417e-05
0.000976562;9.71623e-05
0.000991821;9.86829e-05
0.00100708;0.000100204
0.00102234;0.000101724
0.0010376;0.000103245
0.00105286;0.000104766
0.00106812;0.000106287
0.00108337;0.000107808
0.00109863;0.000109329
0.00111389;0.000110851
0.00112915;0.000112372
0.00114441;0.000113893
0.00115967;0.000115415
0.00117493;0.000116936
0.00119019;0.000118458
0.00120544;0.00011998
0.0012207;0.000121502
0.00123596;0.000123023
0.00125122;0.000124545
0.00126648;0.000126067
0.00128174;0.000127589
0.001297;0.000129112
0.00131226;0.000130634
0.00132751;0.000132156
0.00134277;0.000133678
0.00135803;0.000135201
0.00137329;0.000136723
0.00138855;0.000138246
0.00140381;0.000139769
0.00141907;0.000141291
0.00143433;0.000142814
0.00144958;0.000144337
0.00146484;0.00014586
0.0014801;0.000147383
0.00149536;0.000148906
0.00151062;0.00015043
0.00152588;0.000151953
0.00154114;0.000153476
0.0015564;0.000155
0.00157166;0.000156523
0.00158691;0.000158047
0.00160217;0.000159571
0.00161743;0.000161094
0.00163269;0.000162618
0.00164795;0.000164142
0.00166321;0.000165666
0.00167847;0.00016719
0.00169373;0.000168714
0.00170898;0.000170238
0.00172424;0.000171763
0.0017395;0.000173287
0.00175476;0.000174811
0.00177002;0.000176336
0.00178528;0.000177861
0.00180054;0.000179385
0.0018158;0.00018091
0.00183105;0.000182435
0.00184631;0.00018396
0.00186157;0.000185485
0.00187683;0.00018701
0.00189209;0.000188535
0.00190735;0.00019006
0.00192261;0.000191585
0.00193787;0.000193111
0.00195312;0.000194636
0.00196838;0.000196162
0.00198364;0.000197687
0.0019989;0.000199213
0.00201416;0.000200739
0.00202942;0.000202264
0.00204468;0.00020379
0.00205994;0.000205316
0.0020752;0.000206842
0.00209045;0.000208368
0.00210571;0.000209894
0.00212097;0.000211421
0.00213623;0.000212947
0.00215149;0.000214473
0.00216675;0.000216
0.00218201;0.000217527
0.00219727;0.000219053
0.00221252;0.00022058
0.00222778;0.000222107
0.00224304;0.000223634
0.0022583;0.000225161
0.00227356;0.000226688
0.00228882;0.000228215
0.00230408;0.000229742
0.00231934;0.000231269
0.00233459;0.000232796
0.00234985;0.000234324
0.00236511;0.000235851
0.00238037;0.000237379
0.00239563;0.000238906
0.00241089;0.000240434
0.00242615;0.000241962
0.00244141;0.00024349
0.00245667;0.000245018
0.00247192;0.000246546
0.00248718;0.000248074
0.00250244;0.000249602
0.0025177;0.00025113
0.00253296;0.000252658
0.00254822;0.000254187
0.00256348;0.000255715
0.00257874;0.000257244
0.00259399;0.000258773
0.00260925;0.000260301
0.00262451;0.00026183
0.00263977;0.000263359
0.00265503;0.000264888
0.00267029;0.000266417
0.00268555;0.000267946
0.00270081;0.000269475
0.00271606;0.000271004
0.00273132;0.000272533
0.00274658;0.000274063
0.00276184;0.000275592
0.0027771;0.000277122
0.00279236;0.000278651
0.00280762;0.000280181
0.00282288;0.000281711
0.00283813;0.000283241
0.00285339;0.000284771
0.00286865;0.000286301
0.00288391;0.000287831
0.00289917;0.000289361
0.00291443;0.000290891
0.00292969;0.000292421
0.00294495;0.000293952
0.00296021;0.000295482
0.00297546;0.000297013
0.00299072;0.000298543
0.00300598;0.000300074
0.00302124;0.000301605
0.0030365;0.000303135
0.00305176;0.000304666
0.00306702;0.000306197
0.00308228;0.000307728
0.00309753;0.00030926
0.00311279;0.000310791
0.00312805;0.000312322
0.00314331;0.000313853
0.00315857;0.000315385
0.00317383;0.000316916
0.00318909;0.000318448
0.00320435;0.00031998
0.0032196;0.000321511
0.00323486;0.000323043
0.00325012;0.000324575
0.00326538;0.000326107
0.00328064;0.000327639
0.0032959;0.000329171
0.00331116;0.000330703
0.00332642;0.000332236
0.00334167;0.000333768
0.00335693;0.0003353
0.00337219;0.000336833
0.00338745;0.000338365
0.00340271;0.000339898
0.00341797;0.000341431
0.00343323;0.000342964
0.00344849;0.000344496
0.00346375;0.000346029
0.003479;0.000347562
0.00349426;0.000349095
0.00350952;0.000350629
0.00352478;0.000352162
0.00354004;0.000353695
0.0035553;0.000355229
0.00357056;0.000356762
0.00358582;0.000358296
0.00360107;0.000359829
0.00361633;0.000361363
0.00363159;0.000362897
0.00364685;0.000364431
0.00366211;0.000365965
0.00367737;0.000367499
0.00369263;0.000369033
0.00370789;0.000370567
0.00372314;0.000372101
0.0037384;0.000373635
0.00375366;0.00037517
0.00376892;0.000376704
0.00378418;0.000378239
0.00379944;0.000379773
0.0038147;0.000381308
0.00382996;0.000382843
0.00384521;0.000384378
0.00386047;0.000385913
0.00387573;0.000387448
0.00389099;0.000388983
0.00390625;0.000390518
0.00392151;0.000392053
0.00393677;0.000393589
0.00395203;0.000395124
0.00396729;0.000396659
0.00398254;0.000398195
0.0039978;0.000399731
0.00401306;0.000401266
0.00402832;0.000402802
0.00404358;0.000404338
0.00405884;0.000405874
0.0040741;0.00040741
0.00408936;0.000408946
0.00410461;0.000410482
0.00411987;0.000412018
0.00413513;0.000413554
0.00415039;0.000415091
0.00416565;0.000416627
0.00418091;0.000418164
0.00419617;0.0004197
0.00421143;0.000421237
0.00422668;0.000422774
0.00424194;0.000424311
0.0042572;0.000425848
0.00427246;0.000427385
0.00428772;0.000428922
0.00430298;0.000430459
0.00431824;0.000431996
0.0043335;0.000433533
0.00434875;0.000435071
0.00436401;0.000436608
0.00437927;0.000438145
0.00439453;0.000439683
0.00440979;0.000441221
0.00442505;0.000442758
0.00444031;0.000444296
0.00445557;0.000445834
0.00447083;0.000447372
0.00448608;0.00044891
0.00450134;0.000450448
0.0045166;0.000451987
0.00453186;0.000453525
0.00454712;0.000455063
0.00456238;0.000456602
0.00457764;0.00045814
0.0045929;0.000459679
0.00460815;0.000461217
0.00462341;0.000462756
0.00463867;0.000464295
0.00465393;0.000465834
0.00466919;0.000467373
0.00468445;0.000468912
0.00469971;0.000470451
0.00471497;0.00047199
0.00473022;0.000473529
0.00474548;0.000475069
0.00476074;0.000476608
0.004776;0.000478147
0.00479126;0.000479687
0.00480652;0.000481227
0.00482178;0.000482766
0.00483704;0.000484306
0.00485229;0.000485846
0.00486755;0.000487386
0.00488281;0.000488926
0.00489807;0.000490466
0.00491333;0.000492006
0.00492859;0.000493547
0.00494385;0.000495087
0.00495911;0.000496627
0.00497437;0.000498168
0.00498962;0.000499708
0.00500488;0.000501249
0.00502014;0.00050279
0.0050354;0.00050433
0.00505066;0.000505871
0.00506592;0.000507412
0.00508118;0.000508953
0.00509644;0.000510494
0.00511169;0.000512035
