h;E(h)
0.5;0.0889699
0.4375;0.0737374
0.382812;0.061327
0.334961;0.0511878
0.293091;0.0428778
0.256454;0.0360432
0.224398;0.0304015
0.196348;0.0257268
0.171804;0.0218385
0.150329;0.018592
0.131538;0.0158712
0.115096;0.0135828
0.100709;0.0116512
0.08812;0.0100156
0.077105;0.00862623
0.0674669;0.0074426
0.0590335;0.00643152
0.0516544;0.0055657
0.0451976;0.00482257
0.0395479;0.00418342
0.0346044;0.00363266
0.0302788;0.00315726
0.026494;0.00274627
0.0231822;0.00239048
0.0202845;0.00208209
0.0177489;0.00181449
0.0155303;0.00158206
0.013589;0.00138
0.0118904;0.00120421
0.0104041;0.00105116
0.00910357;0.000917831
0.00796562;0.000801622
0.00696992;0.000700287
0.00609868;0.000611884
0.00533634;0.000534734
0.0046693;0.000467384
0.00408564;0.000408572
0.00357493;0.000357202
0.00312807;0.000312324
0.00273706;0.000273108
0.00239493;0.000238836
0.00209556;0.000208879
0.00183362;0.000182691
0.00160441;0.000159794
0.00140386;0.000139774
0.00122838;0.000122267
0.00107483;0.000106957
0.000940478;9.35665e-05
0.000822918;8.18549e-05
0.000720053;7.16109e-05
0.000630047;6.26503e-05
0.000551291;5.48119e-05
0.000482379;4.7955e-05
0.000422082;4.19565e-05
0.000369322;3.67087e-05
0.000323157;3.21177e-05
0.000282762;2.81011e-05
0.000247417;2.45871e-05
0.00021649;2.15126e-05
0.000189428;1.88227e-05
0.00016575;1.64692e-05
0.000145031;1.44101e-05
0.000126902;1.26084e-05
0.000111039;1.10321e-05
9.71595e-05;9.65285e-06
8.50146e-05;8.44608e-06
7.43878e-05;7.39019e-06
6.50893e-05;6.46632e-06
5.69531e-05;5.65795e-06
4.9834e-05;4.95065e-06
4.36047e-05;4.33177e-06
3.81541e-05;3.79027e-06
3.33849e-05;3.31646e-06
2.92118e-05;2.90188e-06
2.55603e-05;2.53913e-06
2.23653e-05;2.22173e-06
1.95696e-05;1.944e-06
1.71234e-05;1.701e-06
1.4983e-05;1.48837e-06
1.31101e-05;1.30231e-06
1.14713e-05;1.13952e-06
1.00374e-05;9.97079e-07
8.78275e-06;8.72443e-07
7.6849e-06;7.63386e-07
6.72429e-06;6.67959e-07
5.88375e-06;5.84466e-07
5.14828e-06;5.11404e-07
4.50475e-06;4.47484e-07
3.94166e-06;3.91544e-07
3.44895e-06;3.42598e-07
3.01783e-06;2.99779e-07
2.6406e-06;2.62306e-07
2.31053e-06;2.29518e-07
2.02171e-06;2.00824e-07
1.769e-06;1.7573e-07
1.54787e-06;1.5376e-07
1.35439e-06;1.34519e-07
1.18509e-06;1.17715e-07
1.03695e-06;1.02973e-07
9.07334e-07;9.01292e-08
7.93917e-07;7.88545e-08
6.94678e-07;6.89907e-08
6.07843e-07;6.0372e-08
5.31863e-07;5.28116e-08
4.6538e-07;4.61691e-08
4.07207e-07;4.04095e-08
3.56306e-07;3.53753e-08
3.11768e-07;3.09908e-08
2.72797e-07;2.70609e-08
2.38697e-07;2.37324e-08
2.0886e-07;2.06925e-08
1.82753e-07;1.80727e-08
1.59909e-07;1.57078e-08
1.3992e-07;1.39721e-08
1.2243e-07;1.21584e-08
1.07126e-07;1.05715e-08
9.37355e-08;8.94292e-09
8.20186e-08;7.75849e-09
7.17663e-08;6.88831e-09
6.27955e-08;6.39106e-09
5.4946e-08;5.31763e-09
4.80778e-08;4.52383e-09
4.20681e-08;4.35889e-09
3.68096e-08;3.41635e-09
3.22084e-08;3.20091e-09
2.81823e-08;3.07781e-09
2.46595e-08;2.51503e-09
2.15771e-08;2.19344e-09
1.88799e-08;9.07098e-10
1.652e-08;1.53714e-09
1.4455e-08;5.77074e-10
1.26481e-08;5.77074e-10
1.10671e-08;6.76897e-10
9.68369e-09;2.46828e-09
8.47323e-09;1.2399e-09
7.41408e-09;1.56782e-09
6.48732e-09;2.71062e-09
5.6764e-09;3.45409e-10
4.96685e-09;1.05163e-09
4.346e-09;7.4381e-09
3.80275e-09;1.39278e-10
3.3274e-09;1.39278e-10
2.91148e-09;3.71421e-09
2.54754e-09;6.43797e-09
2.2291e-09;6.43797e-09
1.95046e-09;4.65919e-09
1.70666e-09;1.68565e-08
1.49332e-09;1.68565e-08
1.30666e-09;1.42013e-08
1.14333e-09;1.42013e-08
1.00041e-09;7.26529e-09
8.75359e-10;2.31191e-08
7.65939e-10;2.31191e-08
6.70196e-10;5.41797e-08
5.86422e-10;3.64308e-08
5.13119e-10;4.31923e-08
4.48979e-10;1.22826e-08
3.92857e-10;8.29332e-08
3.4375e-10;4.25615e-08
3.00781e-10;3.81821e-08
2.63183e-10;1.45484e-08
2.30285e-10;1.50141e-07
2.015e-10;8.12686e-08
1.76312e-10;1.40302e-07
1.54273e-10;1.8528e-07
1.34989e-10;7.17367e-08
1.18115e-10;3.10117e-07
1.03351e-10;1.75839e-07
9.04322e-11;9.91083e-08
7.91281e-11;9.91083e-08
6.92371e-11;9.91083e-08
6.05825e-11;1.5428e-08
5.30097e-11;3.11819e-07
4.63835e-11;8.74209e-08
4.05855e-11;5.14845e-07
3.55123e-11;2.21754e-07
3.10733e-11;5.56715e-07
2.71891e-11;8.11923e-07
2.37905e-11;1.10359e-06
2.08167e-11;1.0359e-07
1.82146e-11;4.84543e-07
1.59378e-11;7.0223e-07
1.39456e-11;4.41261e-08
1.22024e-11;5.24526e-07
1.06771e-11;8.4947e-07
9.34243e-12;1.06741e-07
8.17463e-12;3.07766e-06
7.1528e-12;1.13747e-06
6.2587e-12;2.24615e-06
5.47636e-12;1.61262e-06
4.79182e-12;1.64543e-07
4.19284e-12;1.81948e-06
3.66873e-12;5.6022e-06
3.21014e-12;7.76376e-06
2.80887e-12;8.82459e-07
2.45776e-12;2.29409e-06
2.15054e-12;1.22255e-05
1.88173e-12;1.16296e-06
1.64651e-12;1.16987e-05
1.4407e-12;2.13314e-05
1.26061e-12;2.06602e-06
1.10303e-12;5.21139e-06
9.65154e-13;5.57273e-06
8.4451e-13;2.72932e-05
7.38946e-13;1.32078e-05
6.46578e-13;2.8898e-06
5.65756e-13;9.02221e-06
4.95036e-13;5.4054e-05
4.33157e-13;2.01374e-06
3.79012e-13;1.11677e-05
3.31636e-13;2.16293e-05
2.90181e-13;5.01076e-05
2.53909e-13;3.64434e-05
2.2217e-13;0.000130141
1.94399e-13;9.44464e-05
1.70099e-13;4.83302e-05
1.48837e-13;9.49511e-05
1.30232e-13;9.15326e-05
1.13953e-13;0.000304657
9.97088e-14;6.10863e-05
8.72452e-14;0.000100853
7.63396e-14;0.0001463
6.67971e-14;0.0001463
5.84475e-14;8.69404e-05
5.11415e-14;0.000629661
4.47489e-14;6.81227e-05
3.91552e-14;0.000286307
