h;E(h)
0.5;0.0403287
0.4375;0.0309673
0.382812;0.0237626
0.334961;0.0182245
0.293091;0.0139715
0.256454;0.0107077
0.224398;0.00820441
0.196348;0.00628521
0.171804;0.00481429
0.150329;0.00368722
0.131538;0.00282377
0.115096;0.00216239
0.100709;0.00165584
0.08812;0.0012679
0.077105;0.000970824
0.0674669;0.000743339
0.0590335;0.00056915
0.0516544;0.000435773
0.0451976;0.000333649
0.0395479;0.000255456
0.0346044;0.000195587
0.0302788;0.000149749
0.026494;0.000114652
0.0231822;8.77815e-05
0.0202845;6.72082e-05
0.0177489;5.14565e-05
0.0155303;3.93965e-05
0.013589;3.0163e-05
0.0118904;2.30936e-05
0.0104041;1.76811e-05
0.00910357;1.35371e-05
0.00796562;1.03644e-05
0.00696992;7.93521e-06
0.00609868;6.0754e-06
0.00533634;4.65148e-06
0.0046693;3.56129e-06
0.00408564;2.72661e-06
0.00357493;2.08756e-06
0.00312807;1.59829e-06
0.00273706;1.22369e-06
0.00239493;9.3689e-07
0.00209556;7.17306e-07
0.00183362;5.49188e-07
0.00160441;4.20472e-07
0.00140386;3.21924e-07
0.00122838;2.46473e-07
0.00107483;1.88706e-07
0.000940478;1.44478e-07
0.000822918;1.10616e-07
0.000720053;8.46903e-08
0.000630047;6.4841e-08
0.000551291;4.96439e-08
0.000482379;3.80086e-08
0.000422082;2.91003e-08
0.000369322;2.22799e-08
0.000323157;1.70581e-08
0.000282762;1.30601e-08
0.000247417;9.99915e-09
0.00021649;7.65555e-09
0.000189428;5.86131e-09
0.00016575;4.48743e-09
0.000145031;3.43591e-09
0.000126902;2.63046e-09
0.000111039;2.01409e-09
9.71595e-05;1.54202e-09
8.50146e-05;1.18062e-09
7.43878e-05;9.03699e-10
6.50893e-05;6.91926e-10
5.69531e-05;5.29794e-10
4.9834e-05;4.05592e-10
4.36047e-05;3.10272e-10
3.81541e-05;2.37844e-10
3.33849e-05;1.81778e-10
2.92118e-05;1.38784e-10
2.55603e-05;1.06614e-10
2.23653e-05;8.19492e-11
1.95696e-05;6.25361e-11
1.71234e-05;4.81505e-11
1.4983e-05;3.68041e-11
1.31101e-05;2.79388e-11
1.14713e-05;2.03777e-11
1.00374e-05;1.65755e-11
8.78275e-06;1.30203e-11
7.6849e-06;9.63429e-12
6.72429e-06;4.47475e-12
5.88375e-06;5.65403e-12
5.14828e-06;3.29536e-12
4.50475e-06;5.60585e-12
3.94166e-06;2.96529e-12
3.44895e-06;1.95932e-12
3.01783e-06;5.98321e-12
2.6406e-06;7.29705e-12
2.31053e-06;3.54305e-12
2.02171e-06;1.10911e-13
1.769e-06;9.91718e-12
1.54787e-06;6.55498e-12
1.35439e-06;7.53386e-12
1.18509e-06;2.71272e-12
1.03695e-06;2.40538e-11
9.07334e-07;1.03603e-11
7.93917e-07;1.62015e-12
6.94678e-07;1.08656e-11
6.07843e-07;6.25777e-12
5.31863e-07;2.65454e-13
4.6538e-07;2.26308e-11
4.07207e-07;9.85056e-12
3.56306e-07;9.62386e-12
3.11768e-07;5.41371e-11
2.72797e-07;3.09408e-12
2.38697e-07;1.14408e-11
2.0886e-07;3.83932e-11
1.82753e-07;4.24438e-13
1.59909e-07;8.72101e-11
1.3992e-07;8.63614e-11
1.2243e-07;2.96849e-11
1.07126e-07;5.12813e-11
9.37355e-08;2.36347e-10
8.20186e-08;1.94046e-10
7.17663e-08;7.31871e-11
6.27955e-08;2.03063e-10
5.4946e-08;1.36343e-11
4.80778e-08;1.94042e-10
4.20681e-08;4.00223e-10
3.68096e-08;2.32069e-11
3.22084e-08;1.84785e-10
2.81823e-08;6.15661e-10
2.46595e-08;2.63926e-10
2.15771e-08;2.63926e-10
1.88799e-08;1.72044e-10
1.652e-08;1.4298e-10
1.4455e-08;5.77074e-10
1.26481e-08;5.77074e-10
1.10671e-08;6.76897e-10
9.68369e-09;2.46828e-09
8.47323e-09;1.2399e-09
7.41408e-09;1.56782e-09
6.48732e-09;5.71398e-10
5.6764e-09;3.45409e-10
4.96685e-09;1.05163e-09
4.346e-09;4.24487e-09
3.80275e-09;3.51013e-09
3.3274e-09;4.03148e-09
2.91148e-09;1.05237e-09
2.54754e-09;9.90453e-10
2.2291e-09;2.12236e-10
1.95046e-09;4.65919e-09
1.70666e-09;8.72497e-09
1.49332e-09;7.56332e-09
1.30666e-09;3.58051e-09
1.14333e-09;2.06325e-09
1.00041e-09;6.60681e-09
8.75359e-10;7.26529e-09
7.65939e-10;5.00046e-09
6.70196e-10;3.34726e-08
5.86422e-10;1.27656e-08
5.13119e-10;1.61463e-08
4.48979e-10;1.8627e-08
3.92857e-10;4.76079e-08
3.4375e-10;2.18969e-09
3.00781e-10;3.81821e-08
2.63183e-10;3.81821e-08
2.30285e-10;8.98777e-08
2.015e-10;1.23961e-08
1.76312e-10;6.15908e-08
1.54273e-10;9.53242e-08
1.34989e-10;7.17367e-08
1.18115e-10;1.92623e-07
1.03351e-10;4.15605e-08
9.04322e-11;5.43525e-08
7.91281e-11;9.91083e-08
6.92371e-11;1.0133e-07
6.05825e-11;1.5428e-08
5.30097e-11;5.00213e-08
4.63835e-11;2.11776e-07
4.05855e-11;1.72906e-07
3.55123e-11;1.69034e-07
3.10733e-11;5.56715e-07
2.71891e-11;3.01507e-07
2.37905e-11;5.20257e-07
2.08167e-11;1.0359e-07
1.82146e-11;2.77362e-07
1.59378e-11;1.68519e-07
1.39456e-11;1.03927e-06
1.22024e-11;6.12778e-07
1.06771e-11;8.4947e-07
9.34243e-12;1.37872e-06
8.17463e-12;1.37999e-06
7.1528e-12;1.13747e-06
6.2587e-12;2.87867e-08
5.47636e-12;1.61262e-06
4.79182e-12;2.7316e-06
4.19284e-12;1.4904e-06
3.66873e-12;1.81948e-06
3.21014e-12;3.44065e-06
2.80887e-12;5.82315e-06
2.45776e-12;2.29409e-06
2.15054e-12;5.77235e-06
1.88173e-12;6.21207e-06
1.64651e-12;3.27011e-06
1.4407e-12;1.16987e-05
1.26061e-12;8.94277e-06
1.10303e-12;7.37008e-06
9.65154e-13;5.57273e-06
8.4451e-13;1.08602e-05
7.38946e-13;5.57273e-06
6.46578e-13;2.43532e-05
5.65756e-13;3.35519e-05
4.95036e-13;2.60201e-05
4.33157e-13;2.01374e-06
3.79012e-13;4.77833e-05
3.31636e-13;6.34758e-05
2.90181e-13;2.283e-06
2.53909e-13;1.82132e-05
2.2217e-13;6.76758e-05
1.94399e-13;2.30581e-05
1.70099e-13;0.000129917
1.48837e-13;9.49511e-05
1.30232e-13;1.50295e-05
1.13953e-13;0.000182872
9.97088e-14;7.80969e-05
8.72452e-14;5.82136e-05
7.63396e-14;3.54898e-05
6.67971e-14;0.0001463
5.84475e-14;8.69404e-05
5.11415e-14;0.000358301
4.47489e-14;6.81227e-05
3.91552e-14;0.000286307
3.42608e-14;0.000220021
2.99782e-14;4.64229e-05
2.6231e-14;0.00028424
2.29521e-14;5.74999e-05
2.00831e-14;0.000489387
1.75727e-14;4.19825e-06
1.53761e-14;0.000108621
1.34541e-14;0.00088224
1.17723e-14;0.000443964
1.03008e-14;0.000612371
9.01319e-15;0.000734884
7.88654e-15;7.50042e-05
6.90072e-15;0.00133192
6.03813e-15;0.00133192
5.28337e-15;0.000309765
4.62295e-15;0.00156644
4.04508e-15;0.0011376
3.53944e-15;0.00407827
3.09701e-15;0.00127763
2.70989e-15;0.00319807
2.37115e-15;0.0026547
2.07476e-15;0.00319807
1.81541e-15;0.00922413
1.58849e-15;0.0015797
1.38992e-15;0.0015797
1.21618e-15;0.00127303
1.06416e-15;0.00198723
9.31141e-16;0.0185059
8.14748e-16;0.00917312
7.12905e-16;0.0127267
6.23792e-16;0.0234254
5.45818e-16;0.0115349
4.77591e-16;0.0211553
4.17892e-16;0.0170041
3.65655e-16;0.0312366
3.19948e-16;0.0175604
2.79955e-16;0.0382076
2.4496e-16;0.0169626
2.1434e-16;0.00886932
1.87548e-16;0.0181188
1.64104e-16;0.0347355
1.43591e-16;0.0135885
1.25642e-16;0.12448
1.09937e-16;0.0298044
9.6195e-17;0.114463
8.41706e-17;0.00919483
7.36493e-17;0.150518
6.44431e-17;0.118669
5.63877e-17;0.00438792
4.93393e-17;0.145024
4.31719e-17;0.305752
3.77754e-17;0.245313
3.30535e-17;0.140349
2.89218e-17;0.0203889
2.53065e-17;0.116708
2.21432e-17;0.27339
1.93753e-17;0.452455
1.69534e-17;0.657101
1.48342e-17;0.890982
1.298e-17;0.980067
